S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,-2.900000000001217160e-01,9.989586860917740729e-01,5.606589739255214511e+01,5.461333333333333684e+01,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
5.983935742971888128e-02,-2.900000000001217160e-01,9.987523811492057257e-01,5.605431866371915817e+01,6.536053547523427198e+01,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
6.967871485943775978e-02,-2.900000000001217160e-01,9.985456108902753813e-01,5.604271381931225449e+01,7.610773761713521424e+01,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
7.951807228915663828e-02,-2.800000000001219291e-01,9.983591802445485053e-01,5.616141819977575267e+01,8.685493975903615649e+01,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
8.935742971887550290e-02,-2.800000000001219291e-01,9.981540768413618148e-01,5.614988037027661250e+01,9.760214190093708453e+01,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
9.919678714859439528e-02,-2.800000000001219291e-01,9.979485180232507968e-01,5.613831692199364198e+01,1.083493440428380410e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.090361445783132599e-01,-2.800000000001219291e-01,9.977424875801214066e-01,5.612672694304875165e+01,1.190965461847389690e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.188755020080321384e-01,-2.800000000001219291e-01,9.975360112545540447e-01,5.611511188155785135e+01,1.298437483266399113e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.287148594377510169e-01,-2.800000000001219291e-01,9.973290707346520456e-01,5.610347070740863984e+01,1.405909504685408535e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.385542168674698815e-01,-2.800000000001219291e-01,9.971216496583255040e-01,5.609180250017266900e+01,1.513381526104417674e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.483935742971887739e-01,-2.800000000001219291e-01,9.969137503791273280e-01,5.608010739224606311e+01,1.620853547523427380e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.582329317269076663e-01,-2.800000000001219291e-01,9.967054010663791708e-01,5.606838696825795409e+01,1.728325568942436803e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.680722891566265309e-01,-2.800000000001219291e-01,9.964965674605225088e-01,5.605663930098072711e+01,1.835797590361445941e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.779116465863453955e-01,-2.800000000001219291e-01,9.962872761081431605e-01,5.604486588375858247e+01,1.943269611780455364e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.877510040160642601e-01,-2.700000000001221423e-01,9.961271600518182279e-01,5.616503475523315103e+01,2.050741633199464502e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
1.975903614457831803e-01,-2.700000000001221423e-01,9.959196094671211030e-01,5.615333234787947703e+01,2.158213654618474493e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
2.074297188755020449e-01,-2.700000000001221423e-01,9.957115390165706126e-01,5.614160062872215917e+01,2.265685676037483631e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
2.172690763052209095e-01,-2.700000000001221423e-01,9.955029956313007355e-01,5.612984224389803245e+01,2.373157697456493054e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
2.271084337349397742e-01,-2.700000000001221423e-01,9.952939847348749591e-01,5.611805749920603148e+01,2.480629718875502192e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
2.369477911646586388e-01,-2.700000000001221423e-01,9.950844604467232735e-01,5.610624380774369513e+01,2.588101740294511615e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
2.467871485943775589e-01,-2.700000000001221423e-01,9.948744869168918425e-01,5.609440478650864748e+01,2.695573761713521321e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
2.566265060240964235e-01,-2.700000000001221423e-01,9.946640028562768743e-01,5.608253697981292163e+01,2.803045783132530460e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
2.664658634538152882e-01,-2.700000000001221423e-01,9.944530584938625628e-01,5.607064321973734167e+01,2.910517804551539598e+02,3.051711248266002986e-05,5.603447849866381603e+01,3.276800000000000000e+04
