S_in,E_required_dB,eta_required,gamma_effective_required,beta,q_active,gamma_target,Ka
5.000000000000000278e-02,-8.350000000001100986e-01,9.990634006837105785e-01,6.594517672832066069e+01,1.310720000000000027e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
5.983935742971888128e-02,-8.350000000001100986e-01,9.988779132875104105e-01,6.593293326197516535e+01,1.568652851405622641e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
6.967871485943775978e-02,-8.350000000001100986e-01,9.986920083088353106e-01,6.592066223226372301e+01,1.826585702811245255e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
7.951807228915663828e-02,-8.350000000001100986e-01,9.985057710247421392e-01,6.590836926806892393e+01,2.084518554216867869e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.935742971887550290e-02,-8.300000000001102052e-01,9.983300142685205270e-01,6.597267823901626116e+01,2.342451405622489801e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.919678714859439528e-02,-8.300000000001102052e-01,9.981442138824879740e-01,6.596039998542354965e+01,2.600384257028113097e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.090361445783132599e-01,-8.300000000001102052e-01,9.979580147924508315e-01,6.594809538425975859e+01,2.858317108433735029e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.188755020080321384e-01,-8.300000000001102052e-01,9.977713673963479746e-01,6.593576115767010037e+01,3.116249959839357871e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.287148594377510169e-01,-8.300000000001102052e-01,9.975843796755311521e-01,6.592340444139011879e+01,3.374182811244980257e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.385542168674698815e-01,-8.300000000001102052e-01,9.973970033014638581e-01,6.591102204172342738e+01,3.632115662650602644e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.483935742971887739e-01,-8.250000000001103118e-01,9.972274981053044218e-01,6.597573428708103904e+01,3.890048514056225486e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.582329317269076663e-01,-8.250000000001103118e-01,9.970405192604315792e-01,6.596336392363831180e+01,4.147981365461848327e+03,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
